###FILE ALREADY PARSED###
12772 0 7
12772 0 9
12871-13069 0 6
12871-13069 0 7
12871-13069 0 9
13366 0 5
13366 0 6
13366 0 8
13465-13663 0 5
13465-13663 0 6
13465-13663 0 8
13960 0 6
13960 0 7
13960 0 9
14059-14257 0 6
14059-14257 0 7
14059-14257 0 9
14554 0 4
14554 0 6
14554 0 9
14653-14851 0 4
14653-14851 0 6
14653-14851 0 9
15149 0 4
15149 0 6
15149 0 8
15248-15446 0 4
15248-15446 0 6
15248-15446 0 8
15743 0 4
15743 0 6
15743 0 7
15842-16040 0 4
15842-16040 0 6
15842-16040 0 7
16337 0 3
16337 0 4
16337 0 6
16436-16634 0 3
16436-16634 0 4
16436-16634 0 6
16931 0 1
16931 0 3
16931 0 5
17030-17228 0 1
17030-17228 0 3
17030-17228 0 5
17525 0 1
17525 0 3
17525 0 4
17624-17822 0 1
17624-17822 0 3
17624-17822 0 4
18119 0 2
18119 0 3
18119 0 6
18218-18416 0 2
18218-18416 0 3
18218-18416 0 6
18713 0 1
18713 0 3
18713 0 5
18812-19010 0 1
18812-19010 0 3
18812-19010 0 5
19010 0 1
19010 0 2
19109-19307 0 1
19109-19307 0 2
19307 0 10
19406 0 11
19505 0 9
19604 0 10
19703 0 8
19802 0 7
19901 0 6
20000 0 5
20099 0 6
20198 0 4
20297 0 5
20396 0 6
20495 0 7
20594 0 8
20693 0 9
20792 0 10
20891 0 9
20990 0 8
21089 0 7
21188 0 8
21287 0 7
21386 0 6
21485 0 7
21584 0 6
21683 0 5
21770 0 4
21869 0 3
21980 0 2
21980 0 4
21980 0 6
21980 0 8
22079 0 2
22079 0 4
22079 0 6
22079 0 8
22178 0 2
22178 0 4
22178 0 6
22178 0 8
22277-22574 0 1
22277-22574 0 3
22277-22574 0 5
22277-22574 0 7
22277-22574 0 9
22574 0 1
22574 0 2
22673-22871 0 1
22673-22871 0 2
22871 0 3
22970 0 4
23069 0 5
23168 0 6
23267 0 7
23366 0 8
23465 0 6
23564 0 5
23663 0 6
23762 0 4
23861 0 5
23960 0 6
24059 0 7
24158 0 8
24257 0 9
24356 0 10
24455 0 11
24554 0 9
24653 0 8
24752 0 9
24851 0 7
24950 0 6
25050 0 5
25149 0 6
25248 0 7
25334 0 8
25433 0 6
25545 0 7
25644 0 8
25743 0 6
25842 0 4
25941 0 5
26040 0 3
26139 0 2
26139 0 4
26139 0 7
26238 0 2
26238 0 4
26238 0 7
26337 0 2
26337 0 4
26337 0 7
26436-26733 0 1
26436-26733 0 3
26436-26733 0 5
26436-26733 0 6
26733 0 4
26733 0 6
26733 0 9
26832 0 4
26832 0 6
26832 0 9
26931 0 4
26931 0 6
26931 0 9
27030-27327 0 3
27030-27327 0 5
27030-27327 0 7
27030-27327 0 8
27327 0 6
27327 0 8
27327 0 11
27426 0 6
27426 0 8
27426 0 11
27525 0 6
27525 0 8
27525 0 11
27624-27921 0 5
27624-27921 0 7
27624-27921 0 9
27624-27921 0 10
27921-28119 0 4
27921 0 10
28020 0 11
28119 0 9
28218-28416 0 3
28218 0 7
28317 0 8
28416 0 6
28515 0 9
28614 0 7
28713 0 4
28812 0 9
28911 0 7
29010 0 4
29109 0 8
29208 0 7
29307 0 5
29406 0 8
29505 0 7
29604 0 5
29703 0 10
29802 0 8
29901 0 5
30000 0 10
30099 0 8
30198 0 5
30297 0 9
30396 0 7
30495 0 4
30594 0 9
30693 0 7
30792 0 4
30891 0 7
30990 0 4
31089 0 1
31188 0 7
31287 0 4
31386 0 1
31485 0 6
31584 0 3
31683 0 1
31782 0 6
31881 0 3
31980 0 1
32079 0 8
32178 0 4
32277 0 2
32376 0 8
32475 0 4
32574 0 2
32673 0 7
32772 0 4
32871 0 2
32970 0 7
33069 0 4
33168 0 2
33267 0 9
33366 0 7
33465 0 4
33564 0 9
33663 0 7
33762 0 4
33861 0 10
33960 0 8
34059 0 5
34158 0 8
34208 0 5
34356 0 4
34455 0 11
34554 0 8
34653 0 5
34752 0 11
34851 0 8
34950 0 5
35050 0 10
35149 0 7
35248 0 4
35347 0 9
35446 0 7
35545 0 4
35644 0 7
35743 0 4
35842 0 1
35941 0 6
36040 0 4
36139 0 1
36238 0 10
36337 0 6
36436 0 5
36535 0 8
36634 0 5
36733 0 3
36832 0 8
36931 0 4
37030 0 2
37129 0 8
37228 0 4
37327 0 2
37426 0 7
37525 0 4
37624 0 2
37723 0 7
37822 0 4
37921 0 2
38020-38317 0 1
38317 0 5
38317 0 10
38416 0 11
38515 0 10
38614 0 4
38614 0 9
38713 0 10
38812 0 9
38911 0 3
38911 0 8
39010 0 9
39109 0 8
39208 0 2
39208 0 7
39307 0 8
39406 0 7
39505 0 1
39505 0 6
39604 0 7
39703 0 6
39802 0 2
39802 0 4
39901 0 5
40000 0 7
40099 0 3
40099 0 6
40198 0 5
40297 0 4
